Philothamnus semivariegatus
Platysaurus guttatus
Platysaurus intermedius
Platysaurus minor
Platysaurus orientalis
Platysaurus relictus
Platysaurus rhodesianus
Prosymna bivittata
Prosymna lineata
Prosymna stuhlmanni
Prosymna sundevalli
Psammobates oculiferus
Psammophis angolensis
Psammophis brevirostris
Psammophis jallae
Psammophis subtaeniatus
Psammophis trinasalis
Psammophylax rhombeatus
Psammophylax tritaeniatus
Pseudaspis cana
Pseudocordylus transvaalensis
Ptenopus garrulus
Python natalensis
Rhamphiophis rostratus
Rhinotyphlops lalandei
Afrotyphlops mucruso
Afrotyphlops schlegelii
Scelotes limpopoensis
Gonionotophis capensis
Gonionotophis nyassae
Stigmochelys pardalis
Telescopus semiannulatus
Thelotornis capensis
Trachylepis capensis
Trachylepis margaritifer
Trachylepis punctatissima
Trachylepis sp. (Transvaal varia)
Trachylepis striata
Trachylepis varia
Trachylepis variegata
Afrotyphlops bibronii
Acontias cregoi
Acontias kgalagadi
Varanus albigularis
Varanus niloticus
Xenocalamus bicolor
Zygaspis quadrifrons
Zygaspis vandami
Nomia theryi
Afranthidium sjoestedti
Lipotriches fimbriata
Allodape armatipes
Allodape stellarum
Allodapula empeyi
Allodapula sp.
Amegilla acraensis
Amegilla atrocincta
Amegilla bechuanensis
Amegilla calens
Amegilla capensis
Amegilla domicola
Eufriesea fallax
Amegilla kaimosica
Amegilla kuleni
Amegilla langi
Amegilla mimadvena
Amegilla niveata
Amegilla nubica
Amegilla sp.
Amegilla spilostoma
Amegilla terminata
Afranthidium braunsi
Anthidium severini
Anthophora oldi
Braunsapis albipennis
Braunsapis fascialis
Braunsapis leptozonia
Braunsapis sp
Braunsapis stuckenbergorum
Braunsapis vitrea
Ceratina lunata
Ceratina moerenhouti
Ceratina penicillata
Ceratina rufigastra
Ceratina sp.
Ceratina subquadrata
Ceylalictus halictoides
Ceylalictus muiri
Megachile armatipes
Megachile bombiformis
Megachile cincta
Chalicodoma crysorrhoea
Megachile felina
Megachile maxillosa
Chalicodoma nigrocincta
Megachile rufiventris
Chalicodoma sp
Coelioxys analis
Coelioxys barkeri
Coelioxys caeruleipennis
Coelioxys masuta
Coelioxys spilaspis
Colletes antecessus
Colletes marleyi
Colletes sordescens
Colletes tarsatus
Colletes zuluensis
Megachile cognata
Megachile discolor
Megachile dorsata
Nomia chandleri
Eoanthidium rothschildi
Afranthidium abdominale
Tetralonia macrognatha
Halictus jucundus
Halictus sp
Heriades capicola
Heriades sp
Heriades wellmani
Hylaeus acariphorus
Hylaeus alfkeni
Hylaeus atriceps
Hylaeus rugipunctus
Hylaeus scutispinus
Hypotrigona gribodoi
Lasioglossum sp
Liotrigona bottegoi
Liotrigona sp
Lipotriches cinerascens
Lipotriches hylaeoides
Lipotriches inaequalis
Lipotriches panganina
Lipotriches patellifera
Lipotriches rubella
Lipotriches tanganyicensis
Lithurgus spiniferus
Lipotriches trochanterica
Lipotriches leucomelanura
Macronomia martini
Lipotriches swalei
Megachile
Megachile addita
Megachile africana
Megachile eurimera
Megachile fimbriata
Megachile gratiosa
Megachile haematognatha
Megachile parallela
Megachile semiflava
Megachile sp.
Megachile venusta
Megachile waterbergensis
Meganomia binghami
Meliplebeia beccarii
Meliturgula flavida
Meliturgula scriptifrons
Nomia sp
Nomioides sp
Hylaeus magrettii
Pasites appletoni
Pasites atra friese
Plebeina hildebrandti
Plebeina sp.
Pseudapis anthidioides
Scrapter absonus
Spatunomia rubra
Sphecodes sp
Steganomus junodi
Pseudapis aliceae
Tetralonia sp.
Tetraloniella ataxia
Tetraloniella braunsiana
Tetraloniella sp.
Thrincostoma sp.
Thyreus abyssinicus
Thyreus axillaris
Thyreus calceatus
Thyreus delumbatus
Thyreus plumifer
Thyreus sp
Thyreus vachali
Trinchostoma millarilochu
Lipotriches cirrita
Lipotriches digitata
Lipotriches orientalis
Unknown
Xylocopa caffra
Xylocopa calens
Xylocopa erythrina
Xylocopa flavicollis
Xylocopa flavorufa
Xylocopa hottentotta
Xylocopa imitator
Xylocopa inconstans
Xylocopa scioensis
Xylocopa senior
Xylocopa sicheli
Xylocopa sp.
Agelena lawrencei
Ammoxenus amphalodes
Ammoxenus psammodromus
Araneidae
Araneus apricus
Araneus holzapfelae
Araneus nigroquadratus
Araneus sp.
Araniella sp.
Argiope australis
Argiope lobata
Argiope sp.
Argiope trifasciata
Barychelidae
Benoitia ocellata
Benoitia raymondeae
Benoitia sp.
Caerostris corticosa
Caerostris sexcuspidata
Caerostris sp.
Caponia chelifera
Caponia sp.
Clubiona africana
Clubiona revillioidi
Clubiona sp.
Clubiona subtrivialis
Clubionidae
Cyphonisia arcturus
Cyphonisia sp.
Gasteracantha sanguinolenta
Hypsacantha crucimaculata
Hypsosinga lithyphantoides
Hypsosinga sp.
Kilima decens
Larinia chloris
Mahembea sp.
Mistaria sp.
Nemoscolus elongatus
